Name,Population,Median_Age,Household_Income,Per_Capita_Income,Poverty_Count,Poverty_Rate,Unemployment_Rate,County,State
"Boise County, Idaho",7378.0,54.0,59646.0,31975.0,787.0,10.666847384114936,2.263486039577121,Boise, Idaho
"Butte County, Idaho",2581.0,45.2,42132.0,30294.0,458.0,17.745060054242547,1.8597442851607904,Butte, Idaho
"Gooding County, Idaho",15148.0,38.7,47204.0,23607.0,2443.0,16.1275415896488,2.6340110905730127,Gooding, Idaho
"Ada County, Idaho",456849.0,37.0,66293.0,34919.0,48513.0,10.619044804738547,2.024301246144788,Ada, Idaho
"Bear Lake County, Idaho",6000.0,39.6,54167.0,26378.0,998.0,16.633333333333333,1.3333333333333333,Bear, Idaho
"Bingham County, Idaho",45839.0,33.6,55472.0,23059.0,5039.0,10.992822705556405,2.1750038177098103,Bingham, Idaho
"Camas County, Idaho",1048.0,44.5,39688.0,30209.0,163.0,15.553435114503815,1.1450381679389312,Camas, Idaho
"Clearwater County, Idaho",8673.0,50.4,43915.0,23412.0,989.0,11.403205349936586,2.4213075060532687,Clearwater, Idaho
"Jefferson County, Idaho",28534.0,31.5,63048.0,24677.0,1953.0,6.844466250788533,2.1307913366510127,Jefferson, Idaho
"Lane County, Oregon",373340.0,39.4,52426.0,29705.0,64457.0,17.26495955429367,3.443509937322548,Lane, Oregon
"Surry County, Virginia",6523.0,49.8,57962.0,30260.0,1033.0,15.836271654146865,2.92810056722367,Surry, Virginia
"Clarke County, Virginia",14423.0,47.0,80026.0,41332.0,1080.0,7.488039936212993,2.3018789433543647,Clarke, Virginia
"Mecklenburg County, Virginia",30728.0,48.4,43207.0,25056.0,5627.0,18.312288466545173,1.5978911741733923,Mecklenburg, Virginia
"Augusta County, Virginia",75079.0,45.1,62711.0,30272.0,6128.0,8.162069287017673,1.7008750782509092,Augusta, Virginia
"Goochland County, Virginia",22865.0,48.3,93994.0,51720.0,1133.0,4.955171659741963,1.7843866171003715,Goochland, Virginia
"Madison County, Virginia",13170.0,45.6,57895.0,30777.0,852.0,6.469248291571755,2.5208807896735004,Madison, Virginia
"Roanoke County, Virginia",93823.0,43.8,68948.0,36469.0,6335.0,6.752075717041664,1.6072817965744006,Roanoke, Virginia
"Brunswick County, Virginia",16520.0,43.3,44434.0,21732.0,2883.0,17.45157384987893,3.861985472154964,Brunswick, Virginia
"Northampton County, Virginia",11885.0,49.0,47227.0,28518.0,2079.0,17.492637778712663,1.7164493058477073,Northampton, Virginia
"Rockbridge County, Virginia",22570.0,49.0,54600.0,31539.0,3167.0,14.031900753212225,2.264067346034559,Rockbridge, Virginia
"Bland County, Virginia",6388.0,46.4,48531.0,22522.0,564.0,8.829054477144648,2.0507201001878523,Bland, Virginia
"Botetourt County, Virginia",33343.0,47.2,71110.0,35893.0,2126.0,6.376150916234293,1.580541642923552,Botetourt, Virginia
"Carroll County, Virginia",29801.0,47.6,44835.0,25449.0,4315.0,14.47937988658099,1.2281467064863596,Carroll, Virginia
"Sacramento County, California",1524553.0,36.2,67151.0,32751.0,220713.0,14.477227095417476,3.2225183381620712,Sacramento, California
"El Dorado County, California",188563.0,45.9,83377.0,42749.0,15643.0,8.295901104670588,2.6076165525580306,El, California
"Monterey County, California",433410.0,34.4,71015.0,30073.0,54393.0,12.550010382778432,2.2371426593756487,Monterey, California
"San Francisco County, California",874961.0,38.2,112449.0,68883.0,89030.0,10.175310670989909,2.6332602253129,San, California
"San Diego County, California",3316073.0,35.8,78980.0,38073.0,374787.0,11.30213357787962,3.0591907958600433,San, California
"Tulare County, California",461898.0,31.0,49687.0,21380.0,108512.0,23.49263257255931,4.079039095211497,Tulare, California
"Humboldt County, California",135940.0,38.4,48041.0,28769.0,26674.0,19.62189201118141,3.864204796233632,Humboldt, California
"Alpine County, California",1039.0,52.2,63750.0,36739.0,205.0,19.73051010587103,4.716073147256979,Alpine, California
"Madera County, California",155433.0,34.1,57585.0,22853.0,29273.0,18.833195010068646,3.5732437770614998,Madera, California
"Santa Cruz County, California",273962.0,37.8,82234.0,41312.0,34419.0,12.563421204400608,3.016476737649747,Santa, California
"Trinity County, California",12700.0,52.5,40846.0,26523.0,2372.0,18.677165354330707,3.4015748031496065,Trinity, California
"Riverside County, California",2411439.0,35.6,67005.0,28596.0,325279.0,13.488999721742909,3.45669121217663,Riverside, California
"San Bernardino County, California",2149031.0,33.3,63362.0,25215.0,333613.0,15.52388029767835,3.5311728867568686,San, California
"Marin County, California",259943.0,46.8,115246.0,72466.0,18349.0,7.058855210565393,1.9385019023401284,Marin, California
"Placer County, California",385512.0,42.0,89691.0,43759.0,29588.0,7.674988067816306,2.0497416422835086,Placer, California
"Shasta County, California",179212.0,41.5,54667.0,29720.0,29423.0,16.417985402763208,2.388232930830525,Shasta, California
"Solano County, California",441829.0,38.1,81472.0,35400.0,41121.0,9.306994334912376,2.9855441811198453,Solano, California
"Colusa County, California",21454.0,35.3,59401.0,26932.0,2774.0,12.929989745502008,2.0275939218793697,Colusa, California
"Copiah County, Mississippi",28501.0,38.5,42151.0,20093.0,6611.0,23.19567734465457,3.0595417704641936,Copiah, Mississippi
"Hinds County, Mississippi",238797.0,34.8,44625.0,23734.0,48955.0,20.50067630665377,4.492518750235557,Hinds, Mississippi
"Union County, Mississippi",28507.0,37.9,45754.0,21705.0,4255.0,14.926158487389062,2.694075139439436,Union, Mississippi
"Tippah County, Mississippi",22018.0,38.8,39246.0,19501.0,4321.0,19.62485239349623,1.8484876010536837,Tippah, Mississippi
